ID,Statement,Question_phi,Question_mistral,Label
10683.json,"In this last election in November, ... 63 percent of the American people chose not to vote, ... 80 percent of young people, (and) 75 percent of low-income workers chose not to vote."," ""<|user|> What was the percentage of eligible voters who did not vote in the election","What is the percentage of American people, including young people and low-income workers, who did not vote in the November election according to reliable sources?",half-true
620.json,McCain opposed a requirement that the government buy American-made motorcycles. And he said all buy-American provisions were quote 'disgraceful.' , Does McCain oppose a requirement for the government to purchase American-made motorcycles and criticize all buy-American provisions as disgraceful?,"1. ""Did John McCain truly oppose a buy-American provision for motorcycles and label it 'disgraceful'?""",true
3863.json,"U.S. Rep. Ron Kind, D-Wis., and his fellow Democrats went on a spending spree and now their credit card is maxed out", What was the act they are disputing.,"1. ""Did US Rep. Ron Kind and Democrats exceed their budget with recent spending, leading to maxed-out credit cards?""",barely-true
12372.json,"Water rates in Manila, Philippines, were raised up to 845 percent when a subsidiary of the World Bank became a partial owner."," How much did water rates in Manila, Philippines increase when a World Bank subsidiary became a partial owner?","1. ""Did the World Bank's subsidiary's involvement cause a 845 percent increase in water rates in Manila, Philippines?""",half-true
12385.json,"Almost 100,000 people left Puerto Rico last year.", What is the verified number of people who left Puerto Rico last year according to credible sources?,"1. ""How many people left Puerto Rico in the last year?"" (search for: ""number of people left Puerto Rico last year"")",mostly-true
10173.json,Women and men both are making less when you adjust for inflation than when John Kitzhaber was first elected governor.," ""Women earn less than a decade ago.","1. ""What was the inflation-adjusted average salary for men and women in [Year] when John Kitzhaber was first elected governor?""",false
9867.json,The United States has the highest corporate tax rate in the free world., Which search query would confirm if the United States indeed has the highest corporate tax rate among countries with free-market systems?,What is the current corporate tax rate in the United States compared to other countries in the free world?,mostly-true
12408.json,We just had the best year for the auto industry in America in history., What is the historical performance of the auto industry in America and does the given year qualify as the best year ever?,What is the record-breaking sales figure for the auto industry in the United States during the latest year reported?,mostly-true
2673.json,"Says Scott Walker favors cutting up to 350,000 families and children off health care."," Which evidence supports the claim that Scott Walker proposed cutting health care for up to 350,000 families and children?","1. ""Did Scott Walker propose a health care plan to cut off coverage for 350,000 families and children?""",half-true
7057.json,Says Mitt Romney wants to get rid of Planned Parenthood.," ""Does a credible source confirm that Mitt Romney has expressed a desire to defund Planned Parenthood?""","1. ""Did Mitt Romney publicly call for the elimination of Planned Parenthood funding?""",barely-true
10215.json,I dont know who (Jonathan Gruber) is.," ""Does a search for 'Jonathan Gruber's professional background and notable works or mentions result in identifiable information connected to the provided headline?"""," quien es Jonathan Gruber? (Who is Jonathan Gruber?)

(This question is in Spanish for easier translate and search since ""who is"" queries tend to have good results in search engines regardless of the language.)",false
12517.json,Hate crimes against American Muslims and mosques have tripled after Paris and San Bernardino., What statistics support the claim that hate crimes against American Muslims and mosques have tripled after the Paris and San Bernardino attacks?,What is the percentage increase in hate crimes against American Muslims and mosques after the Paris and San Bernardino attacks?,mostly-true
3910.json,Rick Perry has never lost an election and remains the only person to have won the Texas governorship three times in landslide elections., Did Rick Perry indeed win the Texas governorship three times in landslide elections without any loss?,"1. ""Has Rick Perry won the Texas governorship three times with landslide elections?""",half-true
11092.json,"ISIS supporter tweeted at 10:34 a.m. Shooting began at 10:45 a.m. in Chattanooga, Tenn."," What time did the shooting in Chattanooga, Tenn. actually begin if the tweeted support for ISIS was at 10:34 a.m.?","1. Was there a verified ISIS supporter with an identifiable handle who tweeted before the shooting in Chattanooga, Tennessee, at 10:34 a.m.?",false
12163.json,Youth unemployment in minority communities is about 40 to 45 percent., What statistics confirm the statement about youth unemployment in minority communities being around 40 to 45 percent?,what is the current youth unemployment rate in minority communities?,mostly-true
13237.json,Says Paul Ryan is still endorsing Trump., Does a credible source confirm Paul Ryan's endorsement of Trump?," который источник подтвердил, что Паул Раyan продолжает поддерживать Трампа? (Which source confirmed that Paul Ryan continues to support Trump?)",true
5383.json,"If you look at states that are right to work, they constantly do not have budget deficits and they have very good business climates."," What evidence supports the claim that states with ""right to work"" laws consistently have no budget deficits and a highly favorable business climate?","1. ""Which states with right-to-work laws consistently have budget surpluses and strong business climates?""",barely-true
9727.json,What (the Obama administration is) going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants., What statement or announcement has the Obama administration made regarding the limited use of coal in existing power plants in the upcoming months?,"1. ""Did the Obama administration announce significant coal burning restrictions for existing power plants in the following months?""",false
8239.json,We cut business taxes so today 70 percent of our businesses dont pay a business tax.," ""What is the current percentage of businesses that do not pay business taxes after the business tax cuts?""","1. ""What percentage of businesses in [country/region], specifically, paid no business taxes in the recent fiscal year?""",mostly-true
10121.json,Says Mark Pryor votes with Obama 93 percent of the time., What percentage of the time did Mark Pryor vote with Obama according to the claim?,"1. ""What is the actual percentage of times Mark Pryor voted in alignment with President Obama's position in the U.S. Congress?""",mostly-true
7550.json,We have a federal government that thinks they have the authority to regulate our toilet seats., What is the basis for the federal government's authority to regulate toilet seats according to a quick online search?,"1. ""Has the United States federal government proposed or passed a regulation concerning toilet seat design or usage?""",true
9018.json,Austin is a city that has basically doubled in size every 25 years or so since it was founded., What evidence is there to support the claim that Austin has doubled in size every 25 years since its founding?," What is the rate of population growth in Austin, Texas, every 25 years since its founding?",true
1038.json,"The nuclear test conducted in our nation this time is the Earth's 2,054th nuclear test. The five permanent members of the U.N. Security Council have conducted 99.99 percent of the total nuclear tests.", What is the total number of nuclear tests conducted by the five permanent members of the U.N. Security Council according to the given headline?,"1. ""How many nuclear tests have occurred globally until now, and which countries have conducted the majority of them?""",true
2940.json,"In the case of a catastrophic event, the Atlanta-area offices of the Centers for Disease Control and Prevention will self-destruct.", What evidence exists to support the claim that Atlanta-area CDC offices self-destruct in a catastrophic event?,"1. ""Does the Centers for Disease Control and Prevention (CDC) Atlanta office have a policy for self-destructing in case of a catastrophic event?""",pants-fire
8492.json,"Under President George W. Bush, we added $4.9 trillion to the debt. Under President Obama weve added $6.5 trillion to the debt.", What is the accurate comparison of debt added during the presidencies of George W. Bush and Barack Obama?,"What is the total amount, in trillions of dollars, that was added to the U.S. national debt during the presidencies of George W. Bush and Barack Obama?",true
5352.json,Says a U.S. Supreme Court justice suggested that some U.S. cases will be decided based on South African law., What evidence supports the claim that a U.S. Supreme Court justice indicated U.S. cases may be resolved using South African law?,"1. ""Which Supreme Court justice made the suggestion about incorporating South African law into U.S. case decisions?""",false
12027.json,Says Marco Rubio skipped 18 defense votes including one to arm the Kurds to fight ISIS.," ""Has there been an official record confirming Marco Rubio skipped 18 defense votes, including a vote to arm the Kurds in the fight against ISIS?""","1. ""Did Marco Rubio miss 18 defense votes, including one to provide weapons to the Kurds against ISIS?""",half-true
5210.json,"Rep. David Cicilline is responsible for the federal loan guarantee to Solyndra, the failed solar company"," What is the connection between Rep. David Cicilline and the federal loan guarantee to Solyndra, the failed solar company?"," ""Did Rep. David Cicilline sponsor or play a key role in securing the federal loan guarantee for Solyndra?""",pants-fire
7993.json,Says Ohio budget item later signed into law by Gov. John Kasich requires women seeking an abortion to undergo a mandatory vaginal probe., Does the signed law in Ohio indeed mandate women seeking an abortion to undergo a vaginal probe?,"1. ""Did Ohio's newly signed budget bill include a mandatory vaginal probe for women seeking abortions?""",pants-fire
1926.json,We have a director of homeland security who cannot use and will not use the term 'terrorist attack' but instead substitutes 'man-made disaster.' , What is the current policy for the director of homeland security regarding the terminology used to describe a 'terrorist attack'?,"1. ""Did Homeland Security Director [current name] refuse to use the term 'terrorist attack' and instead preferred 'man-made disaster' in recent statements?""",false
11418.json,African-American youth unemployment is 51 percent. Hispanic youth unemployment is 36 percent., What are the current unemployment rates for African-American and Hispanic youth as reported?,"1. ""What is the percentage of African-American and Hispanic youth unemployment according to the latest labor statistics?""",half-true
7990.json,"Obamacare will provide insurance to all non-U.S. residents, even if they are here illegally.", What is the provision in Obamacare regarding insurance coverage for non-U.S. residents who are in the country illegally?,"1. ""Does Obamacare provide insurance coverage to non-U.S. residents, including those who are in the country illegally?""",pants-fire
3652.json,President Barack Obama took exactly none of his own deficit reduction commissions ideas. Not one., What initiatives from President Barack Obama's deficit reduction commissions were actually implemented or adopted?,"1. ""Did President Barack Obama implement any of the deficit reduction ideas from his own commissions?"" [answer from a reputable news source or government report would confirm the accuracy of the headline]",false
12848.json,It was under Barack Obama and Hillary Clinton that changed the rules of engagement that probably cost (Capt. Humayun Khans) life., What specific policy changes under Barack Obama and Hillary Clinton's presidencies led to the altered rules of engagement that potentially resulted in the loss of Captain Humayun Khan's life?,"1. ""Did Barack Obama and Hillary Clinton change the rules of engagement leading to the death of Capt. Humayun Khan?""",pants-fire
13503.json,Hillary Clinton in 2005 co-sponsored legislation that would jail flag burners.," Which legislation did Hillary Clinton co-sponsor in 2005 aiming to jail flag burners, verifiable via a quick Google search?","1. ""Did Hillary Clinton co-sponsor a 2005 bill proposing jail time for flag burners?""",true
4930.json,Says the paperback edition of Mitt Romneys book deleted line that Massachusetts individual mandate should be the model for the country, What is the deleted line from the paperback edition of Mitt Romney's book that suggests Massachusetts individual mandate should be the model for the country?,"question: ""Did Mitt Romney's paperback edition of his book remove the suggestion of Massachusetts individual mandate as a national model?""",barely-true
13210.json,"Maggie Hassan raised tuition, making it the highest in America.", What evidence confirms that Maggie Hassan's actions raised tuition to become the highest in America?,"1. ""Has Maggie Hassan raised tuition in America to the highest level?""",barely-true
8187.json,Says Terry McAuliffe is the person who invented the scheme to rent out the Lincoln Bedroom., What evidence exists to support the claim that Terry McAuliffe invented the scheme to rent out the Lincoln Bedroom?,"1. ""Did Terry McAuliffe actually invent the Lincoln Bedroom rental scheme during the Clinton administration?""",false
12758.json,"We created 800,000 new jobs, we cut the unemployment rate almost in half and today New York State has more private sector jobs than it has ever had in its history", How many private sector jobs does today's New York State have compared to its historical data?,"1. ""How many new jobs were created and what is the current unemployment rate in New York State according to reliable sources?""",true
10693.json,"We have towns in West Texas that are out of water, that are having to truck in water.", What towns in West Texas are reported to be out of water and are required to truck in water according to recent news reports?,"1. ""Is there current evidence of towns in West Texas facing water shortages and requiring water trucking?""",barely-true
13077.json,"In Georgia, women earn 82 cents for every dollar earned by men."," What data supports the statement that in Georgia, women earn 82 cents for every dollar earned by men?","1. ""What is the earnings gap between women and men in Georgia according to recent data?""",half-true
3283.json,A federal system that verifies employees are authorized to work in the U.S. is inaccurate anywhere from 50 percent all the way up to in excess of 80 percent of the time., What is the accuracy percentage of federal systems verifying authorized U.S. work eligibility?," What is the accuracy percentage of the federal system verifying US employment authorization? (search: ""accuracy percentage of E-Verify"")",half-true
12981.json,"They were going to build the wall a while ago, not so long ago, like in 06. And they couldnt get environmental impact statements.", What specific date or timeframe in 2006 is referenced regarding the inability to obtain environmental impact statements for the wall construction?,"1. ""When did the plan to build the wall with an environmental impact statement first surface - before 2006?""",barely-true
812.json,Sen. Obama's campaign announced that he's choosing his cabinet., What date did Sen. Obama announce his cabinet selections?,"1. ""Who is Sen. Obama announcing as his cabinet picks in this campaign announcement?""",false
7548.json,"In 2008, only 54 percent of Latinos in Texas were registered to vote and only 35 percent actually turned out.", What percentage of registered Latinos in Texas actually voted in 2008?,"What was the voter registration and turnout percentage for Latinos in Texas in 2008? ( sources: ""2008 texas latino voter statistics"" )",mostly-true
6000.json,Only 2 percent of public high schools in the country offer PE classes., What percentage of public high schools in the country provide physical education (PE) classes?, What percentage of public high schools in the United States provide Physical Education classes?,false
321.json,"Said he's the only Republican candidate ""who's actually turned around a government economy.""", What initiatives or policies has the Republican candidate implemented that led to the revitalization of the government economy?,"mouth: ""Which Republican candidate has publicly claimed to have turned around a government economy?""",mostly-true
1779.json,"On military recruiters at Harvard, Elena Kagan ""took a position and the Supreme Court ruled unanimously that she was wrong.""", What was the Supreme Court's ruling regarding Elena Kagan's position on military recruiters at Harvard?,"1. ""Did the Supreme Court rule unanimously against Elena Kagan regarding military recruiters at Harvard?""",true
1833.json,"There are 321,092 public school teachers in Texas. And there are 313,850 non-teachers in our public schools.", What are the current total number of public school employees (teachers and non-teachers combined) in Texas?,"1. ""How many public school teachers and non-teachers are there in Texas according to reliable sources?""",mostly-true
8584.json,"Under Mayor Cicilline, [Providence] was a sanctuary city.", How can I verify through Google search if Providence was officially designated as a sanctuary city under Mayor Cicilline's administration?,"1. ""Was Providence, Rhode Island, officially declared a sanctuary city during Mayor Cicilline's tenure?""",false
10829.json,Transgender individuals in the U.S. have a 1-in-12 chance of being murdered., What percentage represents the 1-in-12 chance of being murdered for transgender individuals in the U.S.?, What is the actual statistical rate of murder among transgender people in the U.S.?,pants-fire
6612.json,"At Bain Capital, we helped start an early childhood learning company called Bright Horizons that First Lady Michelle Obama rightly praised."," What evidence supports the claim that Bright Horizons, started by Bain Capital, was praised by First Lady Michelle Obama?","1. ""Did First Lady Michelle Obama praise early childhood learning company Bright Horizons?""",true
12056.json,"Says the man who rushed the stage at him in Dayton, Ohio, had chatter about ISIS, or with ISIS in his social media posts."," ""Did the individual who allegedly charged the stage at Dayton, Ohio, have ISIS-related discussions or posts on social media?""","1. ""Did theDayton, Ohio stage rally attendee linked to ISIS have social media posts reflecting ISIS affiliation?""",false
6161.json,U.S. Rep. Phil Gingrey gave the government the power to electronically spy on Americans without a warrant., What evidence is there of U.S. Rep. Phil Gingrey giving the government the power to electronically spy on Americans without a warrant?,"1. ""Did Rep. Phil Gingrey sponsor or support a law enabling mass electronic surveillance on Americans without warrants?""",barely-true
2526.json,Alex Sink funneled three quarters of a million dollars in no-bid contracts to Bank of America., What evidence is there to support the claim that Alex Sink awarded three-quarters of a million dollars in no-bid contracts to Bank of America?,"1. ""Did Alex Sink award Bank of America no-bid contracts worth three quarters of a million dollars?""",barely-true
3786.json,"If you take the population growth here in Virginia, we are net zero on job creation since (Bob McDonnell) became governor.", Does the net zero job creation in Virginia since Bob McDonnell became governor correspond with actual population growth rates?,"What is the net change in job creation in Virginia since Bob McDonnell's governorship? (search: ""job creation under Bob McDonnell Virginia"")",true
6697.json,"Under Obama, home values in Florida collapsed, construction jobs were lost and the state had a high foreclosure rate."," ""What evidence supports the claim of home value collapse, construction job loss, and a high foreclosure rate in Florida under Obama's presidency?""","1. ""What was the trend in Florida home values, construction employment, and foreclosure rates during the Obama administration?""",barely-true
1738.json,"The new Arizona immigration law ""says that any police officer can stop anyone who appears to them to be reasonably suspicious of being an undocumented person."""," What evidence confirms that the Arizona immigration law legally permits police officers to stop individuals based on appearing ""reasonably suspicious of being an undocumented person""?", What does the new Arizona immigration law specify regarding a police officer's authority to stop suspected undocumented individuals?,mostly-true
7425.json,The only time in our history when the debt has been higher than this was the end of World War II., Which historical event and its corresponding debt levels validate the claim that the debt was only higher than it is currently during the end of World War II?,"1. ""What is the historical debt level closest to the given amount that was reached only once, during which time was it?""",mostly-true
10039.json,The cost of health care is now the single-biggest factor driving down the federal budget deficit., How has the reduction in the federal budget deficit been attributed to the health care cost factor according to recent data or reports?,"1. ""Has the decrease in federal health care spending significantly contributed to the reduction in the federal budget deficit?""",mostly-true
2166.json,"During the recession, the consumer in his native perversity has begun to save. The savings rate is now 6.2 percent.", What is the actual savings rate during the specified recession period?, What is the current savings rate of consumers during the recession according to reliable sources?,true
1978.json,On whether a U.S. Supreme Court nominee should be forthcoming at confirmation hearings., What evidence exists to support or refute the claim about a U.S. Supreme Court nominee's approach to confirmation hearings?,"1. ""Who is the current US Supreme Court nominee and what is the general expectation for their level of disclosure during confirmation hearings?""",false
3005.json,Says one out of three U.S. homeless men is a veteran., What is the actual percentage of U.S. homeless men who are veterans?," *""What percentage of homeless men in the U.S. are veterans?""*",barely-true
9165.json,Says Charlie Crist supports cuts to the Medicare Advantage program., What evidence supports the claim that Charlie Crist endorses reductions to the Medicare Advantage program?,What is the source stating that Florida Governor Charlie Crist supports cutting Medicare Advantage program funds?,false
2109.json,I think it is unacceptable for the Chinese today to be larger in wind power and in solar panels and photovoltaic manufacturing than all of Europe put together -- forget the United States.," Does the statement claim that China leads Europe and the United States in wind power capacity, solar panel production, and photovoltaic manufacturing combined?","1. ""Is China the largest producer of wind power and solar panels in the world, surpassing Europe combined?""",half-true
10053.json,Says Scott Brown co-sponsored legislation to let employers deny women coverage for birth control., What specific legislation did Scott Brown co-sponsor that allows employers to deny women coverage for birth control?,"1. ""Did Scott Brown actually co-sponsor legislation against women's birth control coverage?""",true
9613.json,"At some point in their lives, 99% of women use birth control.", What percentage of women use birth control at some point in their lives to support the claim made in the headline?," What percentage of women have used birth control at some point in their lives, according to reliable sources?",half-true
3146.json,"In the past 20 years, Egypt has made great strides in political and democratic reform.", Has Egypt achieved significant political and democratic reforms in the past 20 years?,"What are the specific political and democratic reforms made by Egypt in the past 20 years, supporting the claim of significant progress?",false
8755.json,The amount of attention paid this week to Chris Christie makes the coverage of Benghazi ... pale in significance., What evidence supports the claim that Chris Christie's media attention this week surpasses the coverage of Benghazi in notable significance?,"1. ""How much media coverage has Chris Christie received this week compared to Benghazi?""",false
9989.json,Says U.S. Rep. Steve Southerland voted to keep the shutdown going., What evidence supports the claim that U.S. Rep. Steve Southerland voted to keep the federal government shutdown ongoing?,"1. ""Did U.S. Rep. Steve Southerland vote to extend the government shutdown?""",true
2044.json,"In Rick Perrys Texas, we import nurses ... from other countries.", What evidence supports the claim that Texas imports nurses from other countries in Rick Perry's state?,"1. ""How many nurses in Texas were imported from other countries according to recent statistics?""",half-true
11657.json,There is a federal criminal law that says its a crime to transport dentures across state lines., What federal statute criminalizes the interstate transportation of dentures?,"!""Is there a specific federal law that criminalizes transporting dentures across state lines?""",mostly-true
11131.json,We built a new prison every 10 days between 1990 and 2005 to keep up with our mass incarceration explosion of nonviolent offenders.," What is the actual number or rate of new prisons built per year between 1990 and 2005, and how does it compare to the claim of building a new prison every 10 days?","1. ""How many new prisons were built in the US between 1990 and 2005?""",mostly-true
767.json,"Sen. McCain's tax plan provides ""virtually nothing to the middle class."""," What evidence supports Sen. McCain's tax plan offering ""virtually nothing to the middle class""?", What is the specific tax benefit alleged to be missing in Sen. McCain's tax plan for the middle class?,barely-true
10263.json,Austin is burdened by the fastest-growing tax increases of any major city in the nation., What were the specific tax increases percentages for Austin compared to other major cities in the nation during the same period?,What is the rank of Austin among major cities in terms of tax increase rates over the past year?,false
1969.json,"Phoenix, Arizona, is the No. 2 kidnapping capital of the world."," What evidence supports Phoenix, Arizona being ranked as the No. 2 kidnapping capital of the world?","Who is the source of the statement that Phoenix, Arizona, is the No. 2 kidnapping capital of the world?",false
10386.json,I belong to the AFL-CIO.," ""Is the individual in question a member of the AFL-CIO?""","1. ""Who does the speaker claim to belong to, according to the headline?""

Search query: ""AFL-CIO member claims to belong""",true
2020.json,The insurance commissioner cant do squat about health care., What evidence supports the claim that the insurance commissioner has no authority or influence over healthcare matters?,"1. ""Does the insurance commissioner hold regulatory power over healthcare policies and prices?""",mostly-true
4264.json,Says a poll found him the only Republican candidate who could beat Barack Obama in Texas -- and by eight points., What percentage points lead did the Republican candidate have over Barack Obama in Texas according to the mentioned poll?,"1. ""Who is the Republican candidate that a poll found could beat Barack Obama in Texas by eight points?""",half-true
6359.json,"President Ronald Reagan sent troops into conflict only in one circumstance, which was in Grenada We were in a peacekeeping setting in Lebanon.", What event led President Ronald Reagan to only send troops into conflict in Grenada?,"1. ""Did President Ronald Reagan send troops to Lebanon for a peacekeeping mission before Grenada?""",barely-true
8931.json,Says David Jolly supports privatizing Social Security., Does David Jolly publicly support the privatization of Social Security?," ""*Has David Jolly publicly expressed support for privatizing Social Security?*""",barely-true
9213.json,Did you know US population growth is at its lowest since the Great Depression?, What sources confirm that US population growth is currently at its lowest point since the Great Depression?,"1. ""What is the current rate of US population growth compared to the Great Depression era?""",true
7599.json,"The average student in Florida, what they actually pay out of pocket at our major universities for tuition is as much or less than what they spend on cellphones.", What is the comparison in out-of-pocket tuition costs versus cellphone expenses for the average Florida student at major universities?, what is the average out-of-pocket tuition cost for students in Florida's major universities compared to their average cellphone expenses?,mostly-true
7258.json,"Since 1968, more Americans have died from gunfire than died in all the wars of this countrys history.", What statistics confirm the claim that more Americans have died from gunfire than in all the wars of the country's history since 1968?,"1. ""How many Americans have died in wars since 1775 compared to gun-related deaths since 1968?""",true
7128.json,A foreclosure tax that would take effect in 2013 could mean a high tax bill for those facing foreclosure and millions of families who modified their mortgage or had a short sale through their lender., What could be the financial impact on those facing foreclosure and families who modified their mortgage or had a short sale through their lender if a foreclosure tax takes effect in 2013?,"1. ""Did a new foreclosure tax go into effect in 2013 affecting those with modified mortgages or short sales?""",mostly-true
5667.json,The Florida Department of Agricultures website FreshFromFlorida.com can be used to get a permit to carry a loaded hidden gun without ever leaving your house., Can a permit to carry a loaded hidden gun be obtained through FreshFromFlorida.com without leaving one's house according to the Florida Department of Agriculture's website?,"1. ""Can Florida's FreshFromFlorida.com website be used to obtain a gun carrying permit issuance online?""",false
4170.json,"The Atlanta streetcar is expected to create 930 jobs during construction, totaling more than 5,600 jobs over the next 20 years.", What does a quick Google search reveal about the job creation claims of the Atlanta streetcar construction project over the next 20 years?,"1. ""How many jobs are expected to be created during the construction of the Atlanta streetcar and what is the total number of jobs anticipated over the next 20 years?""",pants-fire
10072.json,"Raising the minimum wage to $10.10 an hour, would help lift over a million Americans out of poverty.", What evidence supports the claim that raising the minimum wage to $10.10 an hour would help lift over a million Americans out of poverty?,"1. ""How many Americans would be lifted out of poverty if the minimum wage was raised to $10.10 an hour?""",mostly-true
10624.json,"Says Secretary of State John Kerry, when he was a senator, flew to Managua and met with a communist dictator there, Daniel Ortega, and accused the Reagan administration of engaging in terrorism.", What evidence demonstrates John Kerry's alleged meeting with Daniel Ortega in Managua during his time as a senator and accusations against the Reagan administration of terrorism?,"1. ""Did John Kerry, as a senator, meet with Daniel Ortega in Managua and accuse the Reagan administration of terrorism?""",mostly-true
13142.json,"NATO is opening up a major terror division. ... Im sure Im not going to get credit for it, but that was largely because of what I was saying and my criticism of NATO.", What recent actions has NATO taken to address terrorism?,"1. ""Has NATO announced the creation of a new terror division?""",false
338.json,Sen. Obama has always had a 100 percent prochoice rating., What is the historical prochoice rating of Senator Obama according to a quick online search?,"1. ""What is Sen. Obama's prochoice voting record according to reliable sources?""",true
7848.json,"Since Gina Raimondo took office, investment fees on the states pension portfolio have gone up from about $12 million annually to about $50 million.", Has the annual investment fee on the state's pension portfolio increased from approximately $12 million to $50 million since Gina Raimondo took office?,"1. ""What is the current investment fees annual cost for Rhode Island state pension portfolio since Gina Raimondo's tenure?""",half-true
2820.json,The (federal) debt is growing by more than $4 billion a day., What is the current daily growth rate of the federal debt in dollars?,What is the current rate of daily increase in the U.S. federal debt?,true
4456.json,"Under President Barack Obamas jobs bill, states would no longer have to lay off teachers, firefighters and police officers."," What information does the Google search confirm about the impact of President Barack Obama's jobs bill on state layoffs of teachers, firefighters, and police officers?","What specific provision of President Barack Obama's jobs bill guaranteed the continuation of employment for teachers, firefighters, and police officers in states during that period?",half-true
7796.json,"Of our 98,000 teachers who are K-12, over 53,000 of those teachers today are over 50 years old."," What percentage of the K-12 teachers are over 50 years old based on the 98,000 total teachers mentioned?","1. ""How many of the 98,000 K-12 teachers in the given region or district are over 50 years old?""",false
7467.json,Two-thirds of Wisconsinites receiving unemployment checks are not required to search for work due to current work search exemptions., What percent of Wisconsinites receiving unemployment checks are exempt from searching for work due to current work search exemptions?,"1. ""How many Wisconsin unemployment recipients are currently exempt from work search requirements?""",mostly-true
8654.json,"Under President Obamas health-care reforms, the premium for an average plan for a family didnt go down by $2,500 per year, its gone up about $2,500 per year.", What is the actual trend in premiums for average family plans under President Obama's health-care reforms?," question: ""Did the average health insurance premium for a family increase by approximately $2,500 per year under President Obamas healthcare reforms?""",half-true
9492.json,"The IRS also investigated liberal groups, groups that had progressive in their name. ... The IRS was basically looking at everybody.", Which search query can confirm if the IRS conducted investigations on liberal groups with progressive in their names?,"1. ""Did the IRS specifically investigate liberal or progressive groups with that name during the targeted tax-exempt scrutiny?""",half-true
6895.json,Says Obama promised unemployment would never go above 8 percent., What evidence supports the claim that Obama promised unemployment would never go above 8 percent?,"1. ""Did Obama ever promise unemployment would not exceed 8%?""",barely-true
10423.json,The economy is creating jobs at the fastest pace since 1999., What data or reports confirm an increase in job creation rate at the fastest pace since 1999?,"1. ""How many jobs were created in the most recent period compared to the numbers from 1999?""",true
