Index|Headline|Scraped Content|Model Decision|Actual Decision
25|"Surprising ‘dark oxygen’ discovery could ensnarl deep-sea mining | Explained"|Surprising ‘dark oxygen’ discovery could ensnarl deep-sea mining   Explained Premium  To enjoy additional benefitsCONNECT WITH USUpdated  - July 27, 2024 09:47 am IST Published - July 27, 2024 09:35 am IST  This photo taken on March 8, 2019, shows a study underway on the seafloor of the Clarion-Clipperton Zone to investigate the impact that potential manganese nodule mining in the deep sea would have on ecosystems there.   Photo Credit: ROV-Team/GEOMAR An unknown process is producing oxygen deep in the world’s oceans, where it is too dark for photosynthesis, scientists reported on July 22 in the journal Nature Geoscience. The finding has important implications because oxygen helps support life and the discovery implies the existence of previously unknown ecosystems.Many governments are also bound to take notice since one explanation for the oxygen is that polymetallic nodules are transporting electric charges that split water molecules around them, releasing oxygen. Polymetallic nodules are lumps of iron, manganese hydroxides, and rock partially submerged in many parts of the ocean floor. If their concentration exceeds 10 kg per sq. m, mining them is considered to be economically feasible — and many countries are planning to do so as a new resource.On July 22, Reuters reported an unnamed “top government scientist” saying India is planning to “apply for licences to explore for deep-sea minerals in the Pacific Ocean”. India’s Ministry of Earth Sciences is also currently building a submersible vehicle that will look for and mine similar resources in the Indian Ocean as part of its ‘Deep Ocean Mission’. The oxygen discovery raises questions about how deep-sea mining to extract polymetallic nodules will affect marine ecosystems.The scientists behind the study, from Germany, the U.K., and the U.S., were studying the Clarion-Clipperton Zone, a part of the ocean floor off Mexico’s west coast. Covering an area larger than India, the Zone is considered to have the world’s highest concentration of polymetallic nodules, including 6 billion tonnes of manganese and more than 200 million tonnes each of copper and nickel.When the scientists were conducting experiments at a depth of 4 km, they noticed the oxygen concentration in some places rapidly increased instead of decreasing. They conducted follow-up studies in 2020 and 2021. In each case, they released a device from the surface that would land on the ocean floor, where it would isolate a small volume of the floor along with some sea water and measure the oxygen levels.This underwater region is called the abyssal zone. It receives too little sunlight for photosynthesis to be feasible. Instead, life-forms here get oxygen from water carried in by a global circulation called the ‘Great Conveyor Belt’. Still, the amount of oxygen is low and without any local production, the device should have measured the oxygen levels dropping as small animals consumed it. But the scientists found the opposite: it increased, sometimes tripling in just two days.They double-checked the finding by recreating the conditions on the ocean floor in their lab, and found the oxygen levels to increase up to a point before dropping.When they measured the physical characteristics of the nodules, they found their surfaces to have a voltage of up to 0.95 V. Splitting one water molecule requires 1.5 V, but the researchers have suspected the voltage could build up if many nodules are close together, like the cells of a battery.Andrew Sweetman, an ecologist with the Scottish Association for Marine Science in the U.K. and a coauthor of the study, told Nature, “We have another source of oxygen on the planet, other than photosynthesis.” His team is calling it ‘dark oxygen’.Oxygen sources are valuable because they allow life to survive. But as the lab experiment indicated, the nodules could only produce oxygen as long as they could muster a sufficient voltage. The nodules’ own energy source is also not clear.Given the quantity of metals polymetallic nodules on the ocean floor hold, deep-sea mining is expected to be a major marine resource extraction activity in the coming decades. The International Seabed Authority has established 15-year contracts with at least 22 contractors — including the Government of India — to look for polymetallic nodules, polymetallic sulphides, and cobalt-rich ferromanganese crusts in the deep seabed. China alone is expected to mine 17% of the Clarion-Clipperton Zone.The new finding raises the possibility of such mining damaging ecosystems that require ‘dark oxygen’ to survive. Experts have found deep-sea mining itself could be harmful to the marine environment, ‘dark oxygen’ or not.In 1989-1996, scientists from Germany conducted the Disturbance and Recolonisation (DISCOL) Experiment in the Peru Basin as the world’s “first large-scale impact assessment” to assess the “environmental impacts originating from the mining of polymetallic nodules”. They built a device that disturbed the sea floor like a deep-sea mining exercise might have and collected data about how the disturbances changed local oceanographic and sedimentological profiles, among other things.A 2019 study in the journal Scientific Reports reported that “the effects of simulated mining impacts induced during the DISCOL [Experiment] were still evident in the megabenthos of the Peru Basin after 26 years.”The same study also reported “significantly lower heterogeneity diversity in disturbed areas” and added that “if the results of this experiment … can be extrapolated to the Clarion-Clipperton Zone, the impacts of polymetallic nodule mining there may be greater than expected, and could potentially lead to an irreversible loss of some ecosystem functions”.In November 2023, Nature reported based on a paper published then that deep-sea mining “for minerals could harm deep-sea jellyfish, according to the first study of mining impacts on animals living in the water column.”Scientists also know less about ecosystems in the abyssal zone than they do about many of those aboveground, which means the models scientists use to predict their fate and their role in global climate processes could be unreliable. With these and other issues in mind, on July 20, three major European insurance companies said they would exclude deep-sea mining from their underwriting portfolios.‘Dark oxygen’ adds to these challenges. If deep-sea mining doesn’t find sustainable ways to respond to them, it may be rendered altogether infeasible. critical minerals  /  mining  /  minerals  /  The Hindu Explains  Copyright© 2024, THG PUBLISHING PVT LTD. or its affiliated companies. All rights reserved. BACK TO TOPTerms & conditions     Institutional SubscriberComments have to be in English, and in full sentences. They cannot be abusive or personal. Please abide by our community guidelines  for posting your comments. We have migrated to a new commenting platform. If you are already a registered user of The Hindu and logged in, you may continue to engage with our articles. If you do not have an account please register and login to post comments. Users can access their older comments by logging into their accounts on Vuukle.|True|True
26|The Galapagos Islands and Many of Their Unique Creatures Are at Risk From Warming Waters|could not scrape content|False|True
27|Los Angeles Zoo Sets Record With 17 California Condor Chicks Hatched in 2024|could not scrape content|False|True
28|Wildfire Smoke Chokes Parts of Canada and Western US  With Some Areas Under Air Quality Alerts|Wildfire smoke chokes parts of Canada and western US, with some areas under air quality alerts  Copyright 2024 The Associated Press. All Rights Reserved.Authorities say a wildfire burning in Oregon that’s kicking smoke into neighboring Idaho and beyond is now the largest active blaze in the U.S.LOS ANGELES (AP) — Fires burning in California, Oregon, Arizona, Washington and other western states, as well as Canada, have filled the skies in regions of the western U.S. with smoke and haze, forcing some affected areas to declare air quality alerts or advisories. As of Wednesday morning, there were 79 large active wildfires across the country being managed that have burned 1,431,460 acres (579,292 hectares), according to the National Interagency Fire Center. Evacuation orders are in effect for 15 fires in the Northwest, where fires continue to show active to extreme behavior. Communities near several fires in California, the Northern Rockies and the Great Basin are also under evacuation orders. Oregon has 31 large active fires that have burned 791,653 acres (320,371 hectares). The Durkee Fire, the largest active blaze in the U.S., was burning near the Oregon-Idaho border and was 0% contained as of Wednesday morning and had burned nearly 400 square miles (1,036 square kilometers). The Cow Valley, Falls and Lone Rock fires, the next largest, have collectively seared some 404,404 acres (163,657 hectares). There are 12 active large wildfires in both California and Arizona. In the Golden State, the Lake Fire in Santa Barbara has scorched 38,664 acres (15,647 hectares) and was 90% contained; the 2024 SQF Lightning Complex in Tulare has burned 31,309 acres (12,670 hectares) and was 7% contained; and the Shelly Fire in Siskiyou County that’s charred 15,656 acres (6,336 hectares) was 62% contained. Hot, dry and windy conditions have increase fire activity in some areas, including the Hill Fire in northern California.The Black Fire east of Phoenix is the largest in Arizona, followed by the Romero Fire west of Dudleyville.  The Pioneer Fire in Washington is the largest in the state at 30,667 acres (12,410.5 hectares). In Montana, the Deadman Fire in Rosebud County grew to 19,982 acres (8,086 hectares) and was 95% contained. In Canada, there are about 430 active wildfires in British Columbia and 177 in neighboring Alberta, including two that led to the evacuation of up to 25,000 visitors and residents of Canadian Rockies’ largest national park.Fuels and fire behavior advisories were in effect for California, Nevada, Southeast and Central Oregon, Southern Idaho and the Utah and Arizona Strip. Unhealthy air pollution from wildfires have triggered air quality alerts and advisories in regions of the western U.S. The Oregon Department of Environmental Quality issued air quality alerts for the eastern counties of Harney, Malheur, Grant, Baker and Morrow until further notice. Unhealthy air was reported in cities of Bend and La Pine today and forecaster for tomorrow, with smoke expected to continue degrading air quality in La Pine after Thursday. Smoke from the Durkee Fire was choking the air in Boise, Idaho and beyond. An air quality warning was in effect for the entire region on Wednesday.In Idaho, air quality advisories were sent out to the central counties of Ada, Canyon, Gem, Owyhee, Payette and Washington. In north central Washington, the Colville Reservation, all of Chelan County, plus the Methow Valley down to Brewster in Okanogan County were under air quality alerts until further notice.And in Canada, authorities issued an air quality advisory for Calgary, Alberta due to the wildfire smoke. The government agency called it high risk and said children and the elderly should avoid outdoor physical exertion.Wildfire smoke can cause unhealthy air quality in areas many miles away from fires. To stay safe, the South Coast Air Quality Management District recommends people start by learning about air quality conditions and forecasts in their area. Those with an air conditioning system should change filters often, with high-efficiency filters labeled “MERV13” or higher being the most effective at removing smoke particles. Portable HEPA air purifiers also help. To limit exposure to unhealthy air quality, people should stay indoors with windows and doors closed. Avoid heavy exertion outdoors, using fans or swamp coolers that take air from outside, all wood-burning appliances, and lighting candles and incense. If you need to be outside in smoky conditions, a respirator mask such as an N-95 or P-100 can offer some protection. Lastly, know your risks. Some people, such as children and those with heart or lung issues, can be more sensitive to moderate to unhealthy air quality. When cleaning ash after a wildfire, wear goggles and a snug a respirator mask such as an N-95 or P-100. Avoid skin contact with ash by wearing gloves, closed-toe shoes, socks and long pants and shirts. Wash ash from pets and outdoor belonging like cars and toys. Mist floors with water and gently sweep or mop, then collect ash in plastic bags and throw it out. Don’t use leaf blowers. Keep water with ash away from storm drains. And clean inside with a vacuum that has disposable filter bags.AP writer Rob Gillies contributed from Toronto.Copyright 2024 The Associated Press. All Rights Reserved.|True|True
29|UN Cultural Agency Rejects Plan to Place Britain's Stonehenge on List of Heritage Sites in Danger|"UN cultural agency rejects plan to place Britain's Stonehenge on list of heritage sites in danger      Print  The United Nations' cultural agency rejected recommendations Wednesday to place Stonehenge on the list of world heritage sites in danger over concerns that Britain's plans to build a nearby highway tunnel threaten the landscape around the prehistoric monument.Stonehenge was built on the flat lands of Salisbury Plain in southern England in stages, starting 5,000 years ago, with the unique stone circle erected in the late Neolithic period about 2,500 B.C.It was added to the UNESCO World Heritage List in 1986 — an honor bestowed upon sites that have special cultural or physical significance.UNESCO experts had recommended listing Stonehenge as ""in danger"" over the plans for highway development.But at the 46th session of the World Heritage Committee, which maintains the list and oversees the conservation of the sites, members led by Kenya and Qatar said Britain's plans to mitigate the effect on the site were sufficient and that it should not be added to the ""in danger"" list.The highway project, which has been touted for decades and mired in legal challenges, is aimed at trying to ease traffic along a stretch of road prone to gridlock by moving the main highway underground and slightly farther away from the famous stone circle.It has faced fierce opposition from local residents and archaeologists, as well as concern from UNESCO, over potential damage to the environment, wildlife and possible new archaeological finds.Kenya, in amending the recommendation to list the site as in danger, focused on the fact that the main stone circle would be farther away from the road with the new construction, and not the experts' assessment that the road project would significantly impact the greater site. It also noted that Britain had considered more than 50 proposals for the highway plan.""What needs to be protected is not just the henge but the overall landscape of which the henge is a central focus,"" the UNESCO experts had argued in their draft proposal, which was rejected.""The main henge is a highly visible and well-known monument and the proposed tunnel would improve its immediate setting, but this monument has to be considered in its context, surrounded by and inextricably linked to a large number of prehistoric features, which together form an ancient landscape.""After rejecting the proposal to list Stonehenge as in danger, the committee agreed to ask Britain for an updated report on the state of conservation of the property by December 2025.UNESCO says a site's inclusion on its List of World Heritage Sites in Danger is not punitive, but rather meant to draw international attention to the urgent need for conservation measures and ""encourage corrective action.""If issues are not rectified, sites face the possibility of being de-listed by UNESCO, though that is rare."|True|True
30|Surprise Blast of Rock  Water and Steam in Yellowstone Sends Dozens Running for Safety|Too Many Requests  client_ip: 203.92.62.130 request_id: 897219075|False|True
31|106 Rare Crocodile Eggs Are Found in Cambodia  the Biggest Such Discovery in 20 Years|106 rare crocodile eggs are found in Cambodia, the biggest such discovery in 20 years  Copyright 2024 The Associated Press. All Rights Reserved.Eggs of a rare Siamese crocodile species hatch in Cardamom National Park in June, 2024. (Bros Pov/Fauna & Flora via AP)PNOMH PENH, Cambodia (AP) — Conservationists in Cambodia found 106 eggs of rare Siamese crocodile species in a western Cambodian wildlife sanctuary, officials said Thursday, calling it the biggest discovery in the last 20 years, giving new hope for the world’s rarest crocodile species’ survival in the wild.The group discovered the species eggs in Cardamom National Park in May. Between June 27 and 30, a total of 60 eggs were successfully hatched, according to a joint statement issued by the ministries of agriculture and environment along with the conservation group Fauna & Flora.“This discovery indicates that the area is a key habitat for wild crocodiles, providing hope for the species recovery,” the statement said. The area and the young reptiles have been under the protection of Cardamom National Park Wildlife Sanctuary rangers, it added.The crocodile species was once widespread across Southeast Asia but is now listed as critically endangered by the International Union for the Conservation of Nature. It had all but disappeared by the 1990s due to a combination of poaching, habitat destruction and crossbreeding with other crocodile species.Cambodian environment minister, Eang Sophalleth, said his ministry is working on the conservation and habitat restoration of these critically endangered Siamese crocodiles.“The Siamese crocodiles play an important role in the ecosystem and the discovery of the five nets successfully hatching 60 eggs reflects that the Cardamom National Park is a safe and suitable habitat for this species,” Sophalleth said in Thursday’s statement.Eggs of a rare Siamese crocodile species hatch in Cardamom National Park in June, 2024. (Toy Ya/Fauna & Flora via AP) It’s believed only about 1,000 Siamese crocodiles remain in the wild, with more than 300 of them in Cambodia. In 2017, wildlife researchers found six eggs in Sre Ambel district in the southern province of Koh Kong as they were exploring for tracks and signs of the reptile. Later in September 2021, eight hatchlings were found by conservationists in a river in the Srepok wildlife sanctuary in eastern Cambodia which raised hopes for its survival in the wild.Copyright 2024 The Associated Press. All Rights Reserved.|True|True
32|Stegosaurus Fossil Fetches Nearly $45M  Setting Record for Dinosaur Auctions|could not scrape content|False|True
33|Brazilian Researchers Discover Dinosaur Fossil After Heavy Rains in Rio Grande Do Sul|Brazilian researchers discover dinosaur fossil after heavy rains in Rio Grande do Sul  Copyright 2024 The Associated Press. All Rights Reserved.Brazilian scientists have discovered a skeleton of what they claim is one of the world’s oldest dinosaurs. The remains surfaced after heavy rains in the southern state of Rio Grande do Sul accelerated the terrain’s natural erosion. The fossil is believed to be around 233 million years old.RIO DE JANEIRO (AP) — A team of Brazilian scientists has discovered a fossilized skeleton of what they believe is one of the world’s oldest dinosaurs after heavy rains in the southern state of Rio Grande do Sul accelerated the natural process of erosion.The fossil found next to a reservoir in the municipality of Sao Joao do Polesine is around 233 million years old, according to paleontologist Rodrigo Temp Müller, who led the team from the Federal University of Santa Maria that found the bones in May.The claims have not been verified by other scientists or published in a scientific journal. The researcher believes the dinosaur lived during the Triassic period, when all continents were part of a single land mass called Pangaea. Dinosaurs are thought to have first evolved at that time. The apex predator discovered in Rio Grande do Sul belongs to the group known as Herrerasauridae — a family of dinosaurs that used to wander across lands that now make up present-day Brazil and Argentina, according to a fact sheet about the discovery shared with The Associated Press.The size of the bones reveals that the dinosaur would have reached around 2.5 meters (8.2 feet) in length, according to the document.Rodrigo Temp Müller said that he and his team were “very excited and surprised” by their findings.After around four days of excavations, the group of researchers transported a block of rock containing the specimen back to the laboratory, where they ran tests. “Initially it seemed like just a few isolated bones, but as we exposed the material, we were able to see that we had an almost complete skeleton,” Müller said. The expert hypothesizes that their discovery is the second most complete skeleton for this type of dinosaur. Researchers will now try to determine whether the fossil belongs to an already-known species or a new kind. That work is expected to take several months, as the process is meticulous to ensure no damaged is caused.Fossils are more likely to appear after rains, as water exposes the materials by removing the sediment that covers them, in a phenomenon known as weathering. Rio Grande do Sul saw record amounts of rainfall earlier this year. That caused devastating floods in May that killed at least 182 people, according to a toll published by the state’s civil defense on July 8.Extreme weather events are made more likely by climate change, principally caused by the burning of oil, gas and coal.Müller said that more fossils are appearing because of the heavy rains, which has launched a race against time to rescue the materials before they are ruined.In the field, his team observed “a leg bone and a pelvis bone in the pelvic region that were already being destroyed due to the rain,” he said.Müller hopes the discovery will contribute to elucidate the origins of dinosaurs.“Having new fossils that are so well preserved certainly helps us better understand this topic that is still much debated,” he said.Copyright 2024 The Associated Press. All Rights Reserved.|True|True
34|Scientists Have Confirmed a Cave on the Moon That Could Be Used to Shelter Future Explorers|Scientists have confirmed a cave on the moon that could be used to shelter future explorers   To enjoy additional benefitsCONNECT WITH USUpdated  - July 15, 2024 09:10 pm IST Published - July 15, 2024 08:52 pm IST - Cape Canaveral Scientists have confirmed a cave on the moon, not far from where Neil Armstrong and Buzz Aldrin landed 55 years ago this week, and suspect there are hundreds more that could house future astronauts.   Photo Credit: AP Scientists have confirmed a cave on the moon, not far from where Neil Armstrong and Buzz Aldrin landed 55 years ago, and suspect there are hundreds more that could house future astronauts.An Italian-led team reported Monday that there’s evidence for a sizable cave accessible from the deepest known pit on the moon. It’s located at the Sea of Tranquility, just 250 miles (400 kilometers) from Apollo 11’s landing site.The pit, like the more than 200 others discovered up there, was created by the collapse of a lava tube.Researchers analyzed radar measurements by NASA’s Lunar Reconnaissance Orbiter, and compared the results with lava tubes on Earth. Their findings appeared in the journal Nature Astronomy.The radar data reveals only the initial part of the underground cavity, according to the scientists. They estimate it’s at least 130 feet (40 meters) wide and tens of yards (meters) long, probably more. Also Read: The third human landing on the moon“Lunar caves have remained a mystery for over 50 years. So it was exciting to be able to finally prove the existence” of one, Leonardo Carrer and Lorenzo Bruzzone of the University of Trento, wrote in an email.Most of the pits seem to be located in the moon’s ancient lava plains, according to the scientists. There also could be some at the moon’s south pole, the planned location of NASA’s astronaut landings later this decade. Permanently shadowed craters there are believed to hold frozen water that could provide drinking water and rocket fuel.During NASA’s Apollo program, 12 astronauts landed on the moon, beginning with Armstrong and Aldrin on July 20, 1969.The findings suggest there could be hundreds of pits on the moon and thousands of lava tubes. Such places could serve as a natural shelter for astronauts, protecting them from cosmic rays and solar radiation as well as from micrometeorite strikes. Building habitats from scratch would be more time-consuming and challenging, even when factoring in the potential need of reinforcing the cave walls to prevent a collapse, the team said.Rocks and other material inside these caves — unaltered by the harsh surface conditions over the eons — also can help scientists better understand how the moon evolved, especially involving its volcanic activity. space programme  /  space programme BACK TO TOPTerms & conditions     Institutional SubscriberComments have to be in English, and in full sentences. They cannot be abusive or personal. Please abide by our community guidelines  for posting your comments. We have migrated to a new commenting platform. If you are already a registered user of The Hindu and logged in, you may continue to engage with our articles. If you do not have an account please register and login to post comments. Users can access their older comments by logging into their accounts on Vuukle.|True|True
35|Fossils Show Huge Salamanderlike Predator With Sharp Fangs Existed Before the Dinosaurs|could not scrape content|False|True
36|To Save Spotted Owls  US Officials Plan to Kill Hundreds of Thousands of Another Owl Species|"To save spotted owls, US officials plan to kill hundreds of thousands of another owl species   To save the imperiled spotted owl from potential extinction, U.S. wildlife officials are embracing a contentious plan to deploy trained shooters into dense West Coast forests to kill almost a half-million barred owls that are crowding out their cousins.  The U.S. Fish and Wildlife Service strategy released Wednesday is meant to prop up declining spotted owl populations in Oregon, Washington state and California. The Associated Press obtained details in advance.  Documents released by the agency show up to about 450,000 barred owls would be shot over three decades after the birds from the eastern U.S. encroached into the West Coast territory of two owls: northern spotted owls and California spotted owls. The smaller spotted owls have been unable to compete with the invaders, which have large broods and need less room to survive than spotted owls.  Past efforts to save spotted owls focused on protecting the forests where they live, sparking bitter fights over logging but also helping slow the birds' decline. The proliferation of barred owls in recent years is undermining that earlier work, officials said.  “Without actively managing barred owls, northern spotted owls will likely go extinct in all or the majority of their range, despite decades of collaborative conservation efforts,"" said Fish and Wildlife Service Oregon state supervisor Kessina Lee.  The notion of killing one bird species to save another has divided wildlife advocates and conservationists. It's reminiscent of past government efforts to save West Coast salmon by killing sea lions and cormorants that prey on the fish, and to preserve warblers by killing cowbirds that lay eggs in warbler nests.  Some advocates grudgingly accepted the barred owl removal strategy; others said it's reckless diversion from needed forest preservation.  “The Fish and Wildlife Service is turning from protector of wildlife to persecutor of wildlife,” said Wayne Pacelle, founder of the advocacy group Animal Wellness Action. He predicted the program would fail because the agency won't be able to keep more barred owls from migrating into areas where others have been killed.  The shootings would likely begin next spring, officials said. Barred owls would be lured using megaphones to broadcast recorded owl calls, then shot with shotguns. Carcasses would be buried on site.  The birds already are being killed by researchers in some spotted owl habitats, with about 4,500 removed since 2009, said Robin Bown, barred owl strategy leader for the Fish and Wildlife Service. Those targeted included barred owls in California’s Sierra Nevada region, where the animals have only recently arrived and officials want to stop populations from taking hold.  In other areas where barred owls are more established, officials aim to reduce their numbers but acknowledge shooting owls is unlikely to eliminate them entirely.  Supporters include the American Bird Conservancy and other conservation groups.  Barred owls don’t belong in the West, said American Bird Conservancy Vice President Steve Holmer. Killing them is unfortunate, he added, but reducing their numbers could allow them to live alongside spotted owls over the long term.  “As the old forests are allowed to regrow, hopefully coexistence is possible and maybe we don’t need to do as much” shooting, Holmer said.  The killings would reduce nationwide barred owl numbers by less than 1%, officials said. That compares with potential extinction for spotted owls should the problem go unaddressed.  Public hunting of barred owls wouldn't be allowed. The wildlife service would designate government agencies, landowners, American Indian tribes or companies to carry out the killings. Shooters would have to provide documentation of training or experience in owl identification and firearm skills.  The publishing in the coming days of a final environmental study on the proposal will open a 30-day comment period before a final decision is made.  The barred owl plan follows decades of conflict between conservationists and timber companies, which cut down vast areas of older forests where spotted owls reside.  Early efforts to save the birds culminated in logging bans in the 1990s that roiled the timber industry and its political supporters in Congress.  Yet spotted owl populations continued declining after barred owls started showing up on the West Coast several decades ago. Across study sites in the region, at least half of spotted owls have been lost, with losses topping 75% in some areas, said Katherine Fitzgerald, who leads the wildlife service's northern spotted owl recovery program.  Opponents say the mass killing of barred owls would cause severe disruption to forest ecosystems and could lead to other species — including spotted owls — being mistakenly shot. They’ve also challenged the notion that barred owls don’t belong on the West Coast, characterizing their expanding range as a natural ecological phenomenon.  Researchers say barred owls moved westward by one of two routes: across the Great Plains, where trees planted by settlers gave them a foothold in new areas; or via Canada’s boreal forests, which have become more hospitable as temperatures rise because of climate change.  Northern spotted owls are federally protected as a threatened species. Federal officials determined in 2020 that their continued decline merited an upgrade to the more critical designation of “endangered.” But the Fish and Wildlife Service refused to do so at the time, saying other species took priority.  California spotted owls were proposed for federal protections last year. A decision is pending.  Under former President Donald Trump, government officials stripped habitat protections for spotted owls at the behest of the timber industry. Those were reinstated under President Joe Biden after the Interior Department said political appointees under Trump relied on faulty science to justify their weakening of protections. This article was generated from an automated news agency feed without modifications to text.Catch all the Budget News , Business News , Breaking News Events and Latest News  Updates on Live Mint. Download The Mint News App  to get Daily Market Updates.Download the Mint app and read premium storiesLog in to our website to save your bookmarks. It'll just take a moment."|True|True
37|A new algae-based menstrual pad could stop leaks|A new algae-based menstrual pad could stop leaks  Every print subscription comes with full digital access 	The prototype turns period blood into a gelMenstrual blood can be unpredictable, and it can often easily leak through commercially available products.Johner Images/Getty ImagesBy Claire YuanJuly 26, 2024 at 11:00 amMenstruation can be messy and uncomfortable, often due to leaky pads, tampons and cups. A new alginate-based powder may solve that problem. The material, which solidifies menstrual blood by turning it into a gel mixture, could reduce leakage in period products without compromising capacity, researchers report July 10 in Matter.“Our paper is a proof of concept,” says Rogério Aparecido Bataglioli, a chemical engineer at Virginia Tech in Blacksburg. Before being used commercially, he says, the materials would need to be assessed for safety and scalability.Most menstrual pads use cellulose-based materials to absorb period blood. Though they are effective, many people who menstruate still struggle with leakage and mess.To solve this problem, the team turned to alginate, a naturally occurring substance derived from algae and seaweed. After the researchers screened a large pool of potential polysaccharides — long chains of carbohydrate molecules — that could have blood-absorbing properties, alginate excelled at absorbing and gelling blood. It also has already been approved by the Food and Drug Administration for use in pharmaceuticals, food and medical materials.To further improve the alginate’s absorption, the researchers added glycerol. They then tested the absorbency of these alginate-glycerol powders against commercial absorbents by sandwiching each between sheets of gauze. The team dripped modified pig blood through a model vagina to mimic menstruation before performing a squeeze test on the blood-soaked materials. Though both were good at absorbing the blood, when the simulated period pads with commercial absorbent were compressed, it was “like squeezing a sponge,” says Bryan Hsu, a microbiologist at Virginia Tech. With the alginate material, which gelled the blood, the pads leaked less under pressure.To assess the leakage of alginate-based menstrual pads, researchers wrapped the new material in gauze and dripped pig blood on it. They then lightly centrifuged the pads on top of well plates to mimic compression and collect the leakage. They did the same thing for three other scenarios: no added material, commercial pad fillers and polyacrylate, the industry gold-standard superabsorbent polymer. Click through the slideshow below to see how each fared.The team also tested their new material in menstrual cups. They packed the alginate-glycerol powder into a long and narrow cotton sheath that was then coiled around inside of the cup. After the blood entered the menstrual cup and encountered the alginate, it gelled. Then, the blood could be removed along with the cotton tube — and a new one could be reinserted — with minimal liquid mess. In solidifying the menstrual blood into a gel, Hsu says, the goal is to make menstrual cup removal and cleaning easier and tidier.One limitation of the study, notes ob–gyn Abigail Liberty, is that the blood was defibrinated pig blood, which does not contain fibrin, a protein involved in clotting. Though she applauds the team for using blood instead of another model fluid, menstrual blood is “different than blood that’s just floating around the body,” says Liberty, of Oregon Health & Science University in Portland (SN: 4/16/24). “It’s secreted in a different way. It’s grown, it’s released in a different way.”Due to a shortage of research on menstrual care and period products, Bataglioli and colleagues did not have a base of experimental techniques to draw from and adapt. Instead, they designed many of their methods from scratch. “That’s a message to the scientific community — there’s nothing out there,” says Zeinab Hosseinidoust, a biomedical engineer at McMaster University in Hamilton, Canada. “Even more important than the actual research that was done is the message that this work sends.”Questions or comments on this article? E-mail us at feedback@sciencenews.org   Reprints FAQR. Bataglioli et al. A naturally derived biomaterial formulation for improved menstrual care. Matter. Published online July 10, 2024. doi: 10.1016/j.matt.2024.06.028.Claire Yuan is the 2024 AAAS Mass Media Fellow at Science News. She is an undergraduate at Harvard University studying chemistry & physics and history of science. We are at a critical time and supporting science journalism  is more important than ever. Science News and our  parent organization, the Society for Science, need your help to strengthen  scientific literacy and ensure that important societal decisions are made  with science in mind. Please   subscribe to Science News and add $16 to expand  science literacy and understanding. Science News was founded in 1921 as an independent, nonprofit source of accurate information on the latest news of science, medicine and technology. Today, our mission remains the same: to empower people to evaluate the news and the world around them. It is published by the Society for Science, a nonprofit 501(c)(3) membership organization dedicated to public engagement in scientific research and education (EIN 53-0196483). 				© Society for Science & the Public 2000–2024. All rights reserved.			Subscribers, enter your e-mail address for full access to the Science News archives and digital editions.Not a subscriber? Become one now.|True|True
